s,C
Time,"HD"
 0.0000000E+000, 2.0000000E+001
 1.0206207E-001, 2.0000000E+001
 1.5309311E-001, 2.0000000E+001
 2.0412415E-001, 2.0000000E+001
 2.5515518E-001, 2.0000000E+001
 3.0618622E-001, 2.0000000E+001
 3.9984823E-001, 2.0000000E+001
 4.4674229E-001, 2.0000000E+001
 4.9777333E-001, 2.0000000E+001
 5.4880437E-001, 2.0000000E+001
 6.3048217E-001, 2.0000000E+001
 6.6145179E-001, 2.0000000E+001
 7.3890663E-001, 2.0000000E+001
 7.8025910E-001, 2.0000000E+001
 8.5790872E-001, 2.0000000E+001
 9.1614593E-001, 2.0000000E+001
 9.6646833E-001, 2.0000000E+001
 1.0315745E+000, 2.0000000E+001
 1.0907094E+000, 2.0000000E+001
 1.1450042E+000, 2.0000000E+001
 1.2092955E+000, 2.0000000E+001
 1.2636958E+000, 2.0000000E+001
 1.3217212E+000, 2.0000000E+001
 1.3800289E+000, 2.0000000E+001
 1.4422821E+000, 2.0000000E+001
 1.5035529E+000, 2.0000000E+001
 1.5646903E+000, 2.0000000E+001
 1.6255677E+000, 2.0000000E+001
 1.6838517E+000, 2.0000000E+001
 1.7441990E+000, 2.0000000E+001
 1.8029044E+000, 2.0000000E+001
 1.8611207E+000, 2.0000000E+001
 1.9240823E+000, 2.0000000E+001
 1.9832770E+000, 2.0000000E+001
 2.0424717E+000, 2.0000000E+001
 2.1036501E+000, 2.0000001E+001
 2.1601056E+000, 2.0000001E+001
 2.2201536E+000, 2.0000001E+001
 2.2822546E+000, 2.0000001E+001
 2.3443556E+000, 2.0000001E+001
 2.4008110E+000, 2.0000001E+001
 2.4629120E+000, 2.0000001E+001
 2.5250130E+000, 2.0000001E+001
 2.5825976E+000, 2.0000001E+001
 2.6446986E+000, 2.0000001E+001
 2.7005895E+000, 2.0000001E+001
 2.7617150E+000, 2.0000002E+001
 2.8228405E+000, 2.0000002E+001
 2.8845218E+000, 2.0000002E+001
 2.9456473E+000, 2.0000002E+001
 3.0006603E+000, 2.0000002E+001
 3.0617858E+000, 2.0000002E+001
 3.1229113E+000, 2.0000002E+001
 3.1840369E+000, 2.0000003E+001
 3.2407871E+000, 2.0000003E+001
 3.3038934E+000, 2.0000003E+001
 3.3612378E+000, 2.0000003E+001
 3.4209967E+000, 2.0000003E+001
 3.4807557E+000, 2.0000003E+001
 3.5405146E+000, 2.0000004E+001
 3.6000745E+000, 2.0000004E+001
 3.6647546E+000, 2.0000004E+001
 3.7247307E+000, 2.0000004E+001
 3.7829428E+000, 2.0000004E+001
 3.8455136E+000, 2.0000004E+001
 3.9031627E+000, 2.0000005E+001
 3.9608118E+000, 2.0000005E+001
 4.0236493E+000, 2.0000005E+001
 4.0813560E+000, 2.0000005E+001
 4.1441359E+000, 2.0000006E+001
 4.2069158E+000, 2.0000006E+001
 4.2659643E+000, 2.0000006E+001
 4.3232737E+000, 2.0000006E+001
 4.3849436E+000, 2.0000006E+001
 4.4466135E+000, 2.0000007E+001
 4.5048573E+000, 2.0000007E+001
 4.5651567E+000, 2.0000007E+001
 4.6254562E+000, 2.0000008E+001
 4.6814375E+000, 2.0000008E+001
 4.7460165E+000, 2.0000008E+001
 4.8004075E+000, 2.0000008E+001
 4.8645016E+000, 2.0000009E+001
 4.9264960E+000, 2.0000009E+001
 4.9811007E+000, 2.0000009E+001
 5.0441490E+000, 2.0000010E+001
 5.1019432E+000, 2.0000010E+001
 5.1618391E+000, 2.0000010E+001
 5.2219451E+000, 2.0000011E+001
 5.2855188E+000, 2.0000011E+001
 5.3459139E+000, 2.0000012E+001
 5.4018587E+000, 2.0000012E+001
 5.4644996E+000, 2.0000012E+001
 5.5208764E+000, 2.0000013E+001
 5.5808628E+000, 2.0000013E+001
 5.6453295E+000, 2.0000014E+001
 5.7034032E+000, 2.0000014E+001
 5.7645069E+000, 2.0000015E+001
 5.8217103E+000, 2.0000016E+001
 5.8860642E+000, 2.0000016E+001
 5.9432676E+000, 2.0000017E+001
 6.0004711E+000, 2.0000017E+001
 6.0605739E+000, 2.0000018E+001
 6.1235761E+000, 2.0000019E+001
 6.1802781E+000, 2.0000020E+001
 6.2432804E+000, 2.0000020E+001
 6.3062826E+000, 2.0000021E+001
 6.3629846E+000, 2.0000022E+001
 6.4259869E+000, 2.0000023E+001
 6.4826889E+000, 2.0000024E+001
 6.5456911E+000, 2.0000025E+001
 6.6011331E+000, 2.0000027E+001
 6.6635053E+000, 2.0000028E+001
 6.7234605E+000, 2.0000030E+001
 6.7847062E+000, 2.0000031E+001
 6.8461357E+000, 2.0000033E+001
 6.9023252E+000, 2.0000035E+001
 6.9629218E+000, 2.0000037E+001
 7.0267716E+000, 2.0000039E+001
 7.0832075E+000, 2.0000042E+001
 7.1434168E+000, 2.0000045E+001
 7.2036262E+000, 2.0000049E+001
 7.2602229E+000, 2.0000053E+001
 7.3264532E+000, 2.0000063E+001
 7.3860604E+000, 2.0003733E+001
 7.4456677E+000, 2.0042225E+001
 7.5052749E+000, 2.0121617E+001
 7.5648822E+000, 2.0210119E+001
 7.6244894E+000, 2.0294432E+001
 7.6840966E+000, 2.0370419E+001
 7.7437039E+000, 2.0441910E+001
 7.8033111E+000, 2.0512175E+001
 7.8642430E+000, 2.0578644E+001
 7.9225256E+000, 2.0638281E+001
 7.9808082E+000, 2.0692821E+001
 8.0421550E+000, 2.0749861E+001
 8.1043995E+000, 2.0812936E+001
 8.1615890E+000, 2.0878041E+001
 8.2244975E+000, 2.0946828E+001
 8.2811151E+000, 2.1019094E+001
 8.3440236E+000, 2.1095570E+001
 8.4006413E+000, 2.1175957E+001
 8.4635497E+000, 2.1257918E+001
