,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-02-19T11:54:49.132-05:00,   0.510E-01,   0.05103,  10.59375
      2,2021-02-19T11:54:49.857-05:00,   0.510E-01,   0.10206,  11.28125
      3,2021-02-19T11:54:50.604-05:00,   0.510E-01,   0.15309,  12.00000
      4,2021-02-19T11:54:51.711-05:00,   0.510E-01,   0.20412,  13.04688
      5,2021-02-19T11:54:52.613-05:00,   0.510E-01,   0.25516,  13.84375
      6,2021-02-19T11:54:53.508-05:00,   0.510E-01,   0.30619,  14.71875
      7,2021-02-19T11:54:54.710-05:00,   0.510E-01,   0.35722,  15.92188
      8,2021-02-19T11:54:55.964-05:00,   0.426E-01,   0.39985,  17.14062
      9,2021-02-19T11:54:56.825-05:00,   0.469E-01,   0.44674,  17.98438
     10,2021-02-19T11:54:58.019-05:00,   0.510E-01,   0.49777,  19.12500
     20,2021-02-19T11:55:08.190-05:00,   0.194E-01,   0.79967,  29.10938
     30,2021-02-19T11:55:16.923-05:00,   0.168E-01,   0.98324,  37.64062
     40,2021-02-19T11:55:25.797-05:00,   0.124E-01,   1.13264,  46.37500
     50,2021-02-19T11:55:33.905-05:00,   0.136E-01,   1.26370,  54.37500
     60,2021-02-19T11:55:42.547-05:00,   0.972E-02,   1.37031,  62.98438
     70,2021-02-19T11:55:51.198-05:00,   0.856E-02,   1.45941,  71.59375
     80,2021-02-19T11:55:59.465-05:00,   0.736E-02,   1.53298,  79.82812
     90,2021-02-19T11:56:07.997-05:00,   0.609E-02,   1.59513,  88.29688
    100,2021-02-19T11:56:16.232-05:00,   0.609E-02,   1.65601,  96.48438
    200,2021-02-19T11:57:39.551-05:00,   0.565E-02,   2.19757, 178.65625
    300,2021-02-19T11:59:04.997-05:00,   0.556E-02,   2.77283, 263.26562
    400,2021-02-19T12:00:31.276-05:00,   0.664E-02,   3.36788, 348.75000
    500,2021-02-19T12:01:58.989-05:00,   0.634E-02,   3.98560, 435.65625
    600,2021-02-19T12:03:27.059-05:00,   0.646E-02,   4.67498, 522.82812
    700,2021-02-19T12:04:58.392-05:00,   0.636E-02,   5.26009, 612.59375
    800,2021-02-19T12:06:25.356-05:00,   0.715E-02,   5.89321, 698.75000
    900,2021-02-19T12:07:51.789-05:00,   0.630E-02,   6.53939, 784.56250
   1000,2021-02-19T12:09:19.454-05:00,   0.602E-02,   7.20363, 871.64062
   1100,2021-02-19T12:10:45.934-05:00,   0.729E-02,   7.86424, 957.46875
   1200,2021-02-19T12:12:12.859-05:00,   0.629E-02,   8.50129,1043.64062
   1300,2021-02-19T12:13:41.512-05:00,   0.606E-02,   9.12553,1131.29688
   1400,2021-02-19T12:15:11.006-05:00,   0.682E-02,   9.75850,1219.79688
   1500,2021-02-19T12:16:37.875-05:00,   0.676E-02,  10.42685,1306.04688
   1600,2021-02-19T12:18:04.845-05:00,   0.565E-02,  11.05952,1392.28125
   1700,2021-02-19T12:19:31.621-05:00,   0.649E-02,  11.71076,1478.35938
   1800,2021-02-19T12:20:59.144-05:00,   0.616E-02,  12.33867,1565.17188
   1900,2021-02-19T12:22:26.118-05:00,   0.712E-02,  12.96484,1651.50000
   2000,2021-02-19T12:23:53.241-05:00,   0.645E-02,  13.60680,1738.03125
   2100,2021-02-19T12:25:21.699-05:00,   0.635E-02,  14.23167,1825.59375
   2200,2021-02-19T12:26:49.709-05:00,   0.583E-02,  14.85708,1912.92188
   2300,2021-02-19T12:28:18.068-05:00,   0.582E-02,  15.49548,2000.53125
   2400,2021-02-19T12:29:47.265-05:00,   0.463E-02,  16.14406,2089.00000
   2500,2021-02-19T12:31:13.815-05:00,   0.617E-02,  16.68664,2174.81250
   2600,2021-02-19T12:32:41.970-05:00,   0.610E-02,  17.28824,2262.28125
   2700,2021-02-19T12:34:10.043-05:00,   0.502E-02,  17.89087,2349.78125
   2800,2021-02-19T12:35:40.210-05:00,   0.616E-02,  18.51445,2439.17188
   2900,2021-02-19T12:37:11.456-05:00,   0.602E-02,  19.17547,2529.68750
   3000,2021-02-19T12:38:46.126-05:00,   0.655E-02,  19.79759,2623.18750
   3100,2021-02-19T12:40:23.679-05:00,   0.586E-02,  20.42748,2719.64062
   3200,2021-02-19T12:41:58.455-05:00,   0.630E-02,  21.02615,2813.28125
   3300,2021-02-19T12:43:32.961-05:00,   0.590E-02,  21.70645,2906.68750
   3400,2021-02-19T12:45:05.198-05:00,   0.613E-02,  22.29608,2997.85938
   3500,2021-02-19T12:46:29.736-05:00,   0.659E-02,  22.94802,3081.79688
   3600,2021-02-19T12:47:52.658-05:00,   0.562E-02,  23.59090,3164.12500
   3700,2021-02-19T12:49:14.817-05:00,   0.722E-02,  24.22921,3245.93750
   3800,2021-02-19T12:50:37.627-05:00,   0.565E-02,  24.83736,3328.31250
   3900,2021-02-19T12:52:00.085-05:00,   0.562E-02,  25.46844,3410.34375
   4000,2021-02-19T12:53:23.341-05:00,   0.629E-02,  26.02162,3492.85938
   4100,2021-02-19T12:54:45.943-05:00,   0.692E-02,  26.65892,3574.90625
   4200,2021-02-19T12:56:08.425-05:00,   0.629E-02,  27.29258,3656.95312
   4300,2021-02-19T12:57:31.150-05:00,   0.655E-02,  27.93192,3739.15625
   4400,2021-02-19T12:58:53.971-05:00,   0.584E-02,  28.53300,3821.42188
   4500,2021-02-19T13:00:15.975-05:00,   0.660E-02,  29.17868,3902.79688
   4600,2021-02-19T13:01:38.665-05:00,   0.629E-02,  29.82003,3985.14062
   4700,2021-02-19T13:03:00.441-05:00,   0.614E-02,  30.45920,4066.37500
   4800,2021-02-19T13:04:23.994-05:00,   0.676E-02,  31.09786,4149.37500
   4900,2021-02-19T13:05:47.209-05:00,   0.530E-02,  31.71357,4232.12500
   5000,2021-02-19T13:07:09.259-05:00,   0.554E-02,  32.34274,4313.62500
   5100,2021-02-19T13:08:31.776-05:00,   0.614E-02,  32.96014,4395.67188
   5200,2021-02-19T13:09:54.373-05:00,   0.604E-02,  33.60062,4477.76562
   5300,2021-02-19T13:11:15.931-05:00,   0.671E-02,  34.19837,4558.85938
   5400,2021-02-19T13:12:37.958-05:00,   0.760E-02,  34.86546,4640.35938
   5500,2021-02-19T13:14:11.729-05:00,   0.590E-02,  35.47031,4732.35938
   5600,2021-02-19T13:15:35.882-05:00,   0.631E-02,  36.12614,4815.81250
   5700,2021-02-19T13:16:58.926-05:00,   0.614E-02,  36.76876,4898.14062
   5800,2021-02-19T13:18:23.199-05:00,   0.602E-02,  37.36843,4981.90625
   5900,2021-02-19T13:19:46.798-05:00,   0.706E-02,  37.96783,5064.90625
   6000,2021-02-19T13:21:12.025-05:00,   0.601E-02,  38.58172,5149.28125
   6100,2021-02-19T13:22:35.485-05:00,   0.624E-02,  39.25435,5232.18750
   6200,2021-02-19T13:23:58.605-05:00,   0.643E-02,  39.86582,5314.85938
   6300,2021-02-19T13:25:22.388-05:00,   0.612E-02,  40.54499,5397.65625
   6400,2021-02-19T13:26:44.929-05:00,   0.678E-02,  41.15012,5479.71875
   6500,2021-02-19T13:28:08.127-05:00,   0.562E-02,  41.80166,5562.29688
   6600,2021-02-19T13:29:30.154-05:00,   0.605E-02,  42.39667,5643.84375
   6700,2021-02-19T13:30:53.928-05:00,   0.632E-02,  43.06130,5727.01562
   6800,2021-02-19T13:32:17.480-05:00,   0.610E-02,  43.72519,5810.03125
   6900,2021-02-19T13:33:40.156-05:00,   0.663E-02,  44.43337,5892.09375
   7000,2021-02-19T13:35:03.242-05:00,   0.559E-02,  45.04720,5974.71875
   7100,2021-02-19T13:36:24.805-05:00,   0.651E-02,  45.63707,6055.76562
   7200,2021-02-19T13:37:47.259-05:00,   0.527E-02,  46.27956,6137.82812
   7300,2021-02-19T13:39:11.498-05:00,   0.673E-02,  46.93531,6221.48438
   7400,2021-02-19T13:40:35.074-05:00,   0.601E-02,  47.52030,6304.57812
   7500,2021-02-19T13:41:59.149-05:00,   0.633E-02,  48.18299,6388.04688
   7600,2021-02-19T13:43:22.386-05:00,   0.731E-02,  48.83813,6470.79688
   7700,2021-02-19T13:44:47.934-05:00,   0.699E-02,  49.49680,6555.51562
   7800,2021-02-19T13:46:12.812-05:00,   0.808E-02,  50.23782,6639.50000
   7900,2021-02-19T13:47:38.073-05:00,   0.560E-02,  50.90753,6724.14062
   8000,2021-02-19T13:49:02.251-05:00,   0.669E-02,  51.54837,6807.71875
   8100,2021-02-19T13:50:28.020-05:00,   0.652E-02,  52.24097,6892.48438
   8200,2021-02-19T13:51:52.931-05:00,   0.678E-02,  52.93427,6976.71875
   8300,2021-02-19T13:53:17.275-05:00,   0.678E-02,  53.63661,7060.51562
   8400,2021-02-19T13:54:41.022-05:00,   0.635E-02,  54.27725,7143.57812
   8500,2021-02-19T13:56:06.461-05:00,   0.719E-02,  54.96324,7228.17188
   8600,2021-02-19T13:57:30.388-05:00,   0.683E-02,  55.61276,7311.42188
   8700,2021-02-19T13:58:53.527-05:00,   0.740E-02,  56.27096,7393.98438
   8800,2021-02-19T14:00:19.399-05:00,   0.590E-02,  56.95313,7479.21875
   8900,2021-02-19T14:01:43.126-05:00,   0.744E-02,  57.57521,7562.32812
   9000,2021-02-19T14:03:07.803-05:00,   0.624E-02,  58.22028,7646.48438
   9100,2021-02-19T14:04:32.115-05:00,   0.679E-02,  58.85886,7730.14062
   9200,2021-02-19T14:05:58.376-05:00,   0.630E-02,  59.47798,7815.64062
   9283,2021-02-19T14:07:13.638-05:00,   0.191E-02,  60.00000,7890.26562
