s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.8419044E+000, 8.5491163E+002,-3.6536713E+002,-4.8428258E+002,-9.1883034E+000, 4.4874318E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2790079E+001, 4.0947944E+001, 8.8712751E-002, 8.8712751E-002
 3.8725204E+000, 8.9103692E+002,-3.8178644E+002,-4.8638396E+002,-8.8130390E+000, 4.5797713E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1142217E+001, 5.9851201E+001, 8.8717788E-002, 8.8717788E-002
 3.9024448E+000, 9.2649590E+002,-3.9576259E+002,-4.8427291E+002,-1.0897625E+001, 4.6297256E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.9137904E+001, 8.1860031E+001, 8.8722491E-002, 8.8722491E-002
 3.9305861E+000, 9.6561299E+002,-4.0912614E+002,-5.0033620E+002,-8.9121325E+000, 4.6966662E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.7806126E+001, 9.4205177E+001, 8.8726709E-002, 8.8726709E-002
 3.9620645E+000, 9.7405998E+002,-4.1154618E+002,-5.4340407E+002,-1.1394181E+001, 4.7046877E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8870656E+001, 5.4762420E+001, 8.8730798E-002, 8.8730798E-002
 3.9934993E+000, 9.8302051E+002,-4.2023893E+002,-6.0553367E+002,-1.2487231E+001, 4.7387853E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3738071E-001,-7.8514710E+000, 8.8734817E-002, 8.8734817E-002
 4.0219564E+000, 1.0081293E+003,-4.2607031E+002,-6.4779377E+002,-1.1295935E+001, 4.8487027E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6106052E+001,-2.8543674E+001, 8.8738389E-002, 8.8738389E-002
 4.0504141E+000, 1.0140888E+003,-4.2780921E+002,-6.5714740E+002,-1.2527623E+001, 4.8805385E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0773409E+001,-3.4590044E+001, 8.8741618E-002, 8.8741618E-002
 4.0802941E+000, 1.0175643E+003,-4.2482382E+002,-6.4121673E+002,-1.3212504E+001, 4.8786048E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3920102E+001,-1.2902683E+001, 8.8744754E-002, 8.8744754E-002
 4.1115975E+000, 1.0480639E+003,-4.3657922E+002,-6.4098079E+002,-1.2870204E+001, 4.8515111E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.6845465E+000, 6.1488475E+000, 8.8747850E-002, 8.8747850E-002
 4.1429005E+000, 1.0875884E+003,-4.5452936E+002,-6.6147688E+002,-1.2871454E+001, 4.8070216E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2238069E+000, 6.7808950E+000, 8.8750818E-002, 8.8750818E-002
 4.1722689E+000, 1.0863676E+003,-4.4994544E+002,-6.7345763E+002,-1.2178286E+001, 4.7641461E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5698778E+000,-1.5723372E+000, 8.8753510E-002, 8.8753510E-002
 4.2042747E+000, 1.0784023E+003,-4.5037600E+002,-6.8907760E+002,-1.3524410E+001, 4.6542694E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2847962E+001,-2.8033034E+001, 8.8756069E-002, 8.8756069E-002
 4.2326226E+000, 1.0737686E+003,-4.5141833E+002,-6.6413039E+002,-1.3209786E+001, 4.5504719E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2155496E+000,-9.4852114E+000, 8.8758459E-002, 8.8758459E-002
 4.2627997E+000, 1.0663581E+003,-4.4551089E+002,-6.1826675E+002,-1.3090442E+001, 4.5579414E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4046932E+001, 3.5069438E+001, 8.8760646E-002, 8.8760646E-002
 4.2906809E+000, 1.0491045E+003,-4.4601941E+002,-5.7349463E+002,-1.4079809E+001, 4.5890850E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8288770E+001, 6.1401481E+001, 8.8762671E-002, 8.8762671E-002
 4.3222442E+000, 1.0177505E+003,-4.3376369E+002,-5.8169964E+002,-1.5085899E+001, 4.1930392E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6852967E+001, 2.9131694E+001, 8.8764633E-002, 8.8764633E-002
 4.3521013E+000, 9.7626909E+002,-4.1520575E+002,-6.0978331E+002,-1.3445687E+001, 4.2229073E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3834386E+001,-1.9936585E+001, 8.8766539E-002, 8.8766539E-002
 4.3832803E+000, 9.7298666E+002,-4.1367956E+002,-6.2869916E+002,-1.3162428E+001, 4.3624594E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4340591E+001,-3.8929893E+001, 8.8768334E-002, 8.8768334E-002
 4.4142466E+000, 9.3552207E+002,-3.9876773E+002,-6.0986936E+002,-1.4641524E+001, 4.4534759E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5627807E+001,-4.3221776E+001, 8.8770065E-002, 8.8770065E-002
 4.4400516E+000, 9.2339242E+002,-3.9321694E+002,-5.9908600E+002,-1.2912501E+001, 4.4771110E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3288136E+001,-3.7051907E+001, 8.8771539E-002, 8.8771539E-002
 4.4710174E+000, 9.3523708E+002,-3.9271721E+002,-5.8166904E+002,-1.1100346E+001, 4.4494709E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7267132E+000,-5.7548111E+000, 8.8772930E-002, 8.8772930E-002
 4.5019836E+000, 9.6078711E+002,-4.0328486E+002,-5.6743661E+002,-1.0806286E+001, 4.4553641E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6624527E+001, 2.3812996E+001, 8.8774361E-002, 8.8774361E-002
 4.5355301E+000, 9.7151753E+002,-4.1121959E+002,-5.8126719E+002,-1.2709461E+001, 4.4673994E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4226900E+001, 1.0995281E+001, 8.8775769E-002, 8.8775769E-002
 4.5639157E+000, 9.8105885E+002,-4.1596882E+002,-5.7637154E+002,-1.3234594E+001, 4.4281851E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2914068E+001, 1.9765746E+001, 8.8777032E-002, 8.8777032E-002
 4.5923014E+000, 9.8341231E+002,-4.1887717E+002,-5.7798213E+002,-1.2251882E+001, 4.4087151E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4090325E+001, 1.8388272E+001, 8.8778121E-002, 8.8778121E-002
 4.6206865E+000, 9.5407189E+002,-4.0671229E+002,-6.0286664E+002,-1.3476087E+001, 4.4340598E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1458646E+001,-2.4642530E+001, 8.8779150E-002, 8.8779150E-002
 4.6540446E+000, 9.2625557E+002,-3.9708262E+002,-6.2176897E+002,-1.2078027E+001, 4.4679448E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2210266E+001,-5.9994603E+001, 8.8780202E-002, 8.8780202E-002
 4.6848722E+000, 8.9648456E+002,-3.8188610E+002,-6.2400400E+002,-1.2459303E+001, 4.4556731E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9282199E+001,-7.7308112E+001, 8.8781225E-002, 8.8781225E-002
 4.7122192E+000, 8.7367529E+002,-3.6707198E+002,-6.1642244E+002,-1.0755424E+001, 4.4591042E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.9191952E+001,-7.5983515E+001, 8.8782108E-002, 8.8782108E-002
 4.7450356E+000, 8.7690724E+002,-3.6530162E+002,-6.2199050E+002,-9.6061984E+000, 4.4447067E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1728668E+001,-7.5544006E+001, 8.8782963E-002, 8.8782963E-002
 4.7723832E+000, 9.2459317E+002,-3.8307646E+002,-6.3369148E+002,-8.3740998E+000, 4.3466607E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9042189E+001,-5.7082267E+001, 8.8783770E-002, 8.8783770E-002
 4.8051996E+000, 9.5590564E+002,-4.0186136E+002,-5.9615017E+002,-9.5907600E+000, 4.2142399E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1184740E+001,-9.5542502E+000, 8.8784527E-002, 8.8784527E-002
 4.8325467E+000, 9.4603871E+002,-3.9648938E+002,-5.6532208E+002,-9.4843266E+000, 4.1695381E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0130818E+001, 1.6438307E+001, 8.8785242E-002, 8.8785242E-002
 4.8604407E+000, 9.3120072E+002,-3.8560364E+002,-5.6325771E+002,-8.2306271E+000, 4.1392817E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5290119E+001, 1.5501558E+001, 8.8785863E-002, 8.8785863E-002
 4.8905230E+000, 9.1933999E+002,-3.7981065E+002,-5.4098571E+002,-8.2669239E+000, 4.1556089E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2536079E+001, 3.1832799E+001, 8.8786481E-002, 8.8786481E-002
 4.9206047E+000, 9.0547128E+002,-3.7809821E+002,-5.2387429E+002,-1.0381519E+001, 4.2134458E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0238775E+001, 3.5251725E+001, 8.8787081E-002, 8.8787081E-002
 4.9506865E+000, 8.9850975E+002,-3.7822830E+002,-5.2568254E+002,-1.0477239E+001, 4.2191582E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1162544E+001, 2.6313251E+001, 8.8787646E-002, 8.8787646E-002
 4.9807682E+000, 8.9751810E+002,-3.7902727E+002,-5.7161008E+002,-9.6758442E+000, 4.1811636E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2435645E+001,-2.0983453E+001, 8.8788179E-002, 8.8788179E-002
 5.0127778E+000, 8.8849065E+002,-3.7352033E+002,-6.1972170E+002,-1.0973715E+001, 4.1174177E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.8629841E+001,-7.4550924E+001, 8.8788690E-002, 8.8788690E-002
 5.0439692E+000, 8.8415488E+002,-3.7107678E+002,-6.2710025E+002,-1.0403018E+001, 4.0882524E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.4314409E+001,-8.3542643E+001, 8.8789183E-002, 8.8789183E-002
 5.0756803E+000, 8.9487295E+002,-3.7620960E+002,-5.9361279E+002,-9.2922079E+000, 4.0834182E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3461831E+001,-4.3407472E+001, 8.8789646E-002, 8.8789646E-002
 5.1042724E+000, 8.7493159E+002,-3.6919646E+002,-5.7884257E+002,-9.2562569E+000, 4.0734961E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7830323E+001,-4.1628732E+001, 8.8790065E-002, 8.8790065E-002
 5.1328645E+000, 8.5748629E+002,-3.5833595E+002,-5.6123710E+002,-9.6129057E+000, 4.0801234E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0160909E+001,-3.0898440E+001, 8.8790438E-002, 8.8790438E-002
 5.1614566E+000, 8.4381847E+002,-3.5337619E+002,-5.2310995E+002,-9.3790338E+000, 4.1519328E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.6579212E-001,-5.2737780E-001, 8.8790789E-002, 8.8790789E-002
 5.1900487E+000, 8.3070975E+002,-3.5089573E+002,-4.8639573E+002,-9.3158691E+000, 4.2285894E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9539905E+001, 2.6388317E+001, 8.8791121E-002, 8.8791121E-002
 5.2243590E+000, 8.3825777E+002,-3.5734603E+002,-4.8241843E+002,-9.2169063E+000, 4.3246560E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3081195E+001, 3.2522960E+001, 8.8791465E-002, 8.8791465E-002
 5.2529511E+000, 8.2994820E+002,-3.5006451E+002,-4.9273190E+002,-1.0866240E+001, 4.3872307E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1877436E+001, 2.0157851E+001, 8.8791788E-002, 8.8791788E-002
 5.2804875E+000, 8.6436744E+002,-3.6535013E+002,-4.9888524E+002,-1.0385381E+001, 4.3569727E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2433444E+001, 3.3316418E+001, 8.8792059E-002, 8.8792059E-002
 5.3103280E+000, 8.5681280E+002,-3.6299010E+002,-4.9554151E+002,-1.1056544E+001, 4.2823708E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7743424E+001, 3.0048344E+001, 8.8792318E-002, 8.8792318E-002
