s,C
Time,"HD"
 0.0000000E+000, 2.0000000E+001
 1.0206207E-001, 2.0000000E+001
 2.0412415E-001, 2.0000000E+001
 3.0618622E-001, 2.0000000E+001
 4.0824829E-001, 2.0000000E+001
 5.1031036E-001, 2.0000000E+001
 6.1237244E-001, 2.0000000E+001
 6.3366884E-001, 2.0000000E+001
 6.5709488E-001, 2.0000000E+001
 6.8286353E-001, 2.0000000E+001
 7.1120904E-001, 2.0000000E+001
 7.4238910E-001, 2.0000000E+001
 7.7668717E-001, 2.0000000E+001
 8.1441504E-001, 2.0000000E+001
 8.5591570E-001, 2.0000000E+001
 9.3848788E-001, 2.0000000E+001
 9.7955939E-001, 2.0000000E+001
 1.0358763E+000, 2.0000000E+001
 1.0905534E+000, 2.0000000E+001
 1.1615249E+000, 2.0000000E+001
 1.2005664E+000, 2.0000000E+001
 1.2672564E+000, 2.0000000E+001
 1.3271194E+000, 2.0000000E+001
 1.3869823E+000, 2.0000000E+001
 1.4468453E+000, 2.0000000E+001
 1.5067083E+000, 2.0000000E+001
 1.5665712E+000, 2.0000001E+001
 1.6264342E+000, 2.0000001E+001
 1.6862971E+000, 2.0000001E+001
 1.7461601E+000, 2.0000001E+001
 1.8060230E+000, 2.0000001E+001
 1.8658860E+000, 2.0000001E+001
 1.9257490E+000, 2.0000002E+001
 1.9856119E+000, 2.0000002E+001
 2.0454749E+000, 2.0000002E+001
 2.1053378E+000, 2.0000002E+001
 2.1652008E+000, 2.0000002E+001
 2.2250638E+000, 2.0000003E+001
 2.2894164E+000, 2.0000003E+001
 2.3552657E+000, 2.0000003E+001
 2.4046526E+000, 2.0000003E+001
 2.4705019E+000, 2.0000004E+001
 2.5231813E+000, 2.0000004E+001
 2.5829395E+000, 2.0000004E+001
 2.6426977E+000, 2.0000004E+001
 2.7024559E+000, 2.0000005E+001
 2.7622141E+000, 2.0000005E+001
 2.8219723E+000, 2.0000005E+001
 2.8817305E+000, 2.0000005E+001
 2.9563705E+000, 2.0000006E+001
 3.0085724E+000, 2.0000006E+001
 3.0704061E+000, 2.0000006E+001
 3.1322398E+000, 2.0000007E+001
 3.1940735E+000, 2.0000007E+001
 3.2404488E+000, 2.0000007E+001
 3.3022825E+000, 2.0000008E+001
 3.3641162E+000, 2.0000008E+001
 3.4259499E+000, 2.0000008E+001
 3.4924212E+000, 2.0000009E+001
 3.5434340E+000, 2.0000009E+001
 3.6114511E+000, 2.0000009E+001
 3.6624639E+000, 2.0000010E+001
 3.7304809E+000, 2.0000010E+001
 3.7814937E+000, 2.0000011E+001
 3.8495108E+000, 2.0000011E+001
 3.9005236E+000, 2.0000012E+001
 3.9685407E+000, 2.0000012E+001
 4.0341264E+000, 2.0000013E+001
 4.0924177E+000, 2.0000013E+001
 4.1507091E+000, 2.0000014E+001
 4.2090005E+000, 2.0000014E+001
 4.2672918E+000, 2.0000015E+001
 4.3255832E+000, 2.0000015E+001
 4.3867891E+000, 2.0000016E+001
 4.4509096E+000, 2.0000016E+001
 4.5150301E+000, 2.0000017E+001
 4.5663265E+000, 2.0000017E+001
 4.6368591E+000, 2.0000018E+001
 4.6897585E+000, 2.0000019E+001
 4.7504526E+000, 2.0000019E+001
 4.8111467E+000, 2.0000020E+001
 4.8763929E+000, 2.0000021E+001
 4.9264656E+000, 2.0000022E+001
 4.9915238E+000, 2.0000022E+001
 5.0514659E+000, 2.0000023E+001
 5.1114080E+000, 2.0000024E+001
 5.1713502E+000, 2.0000025E+001
 5.2312923E+000, 2.0000026E+001
 5.2912344E+000, 2.0000027E+001
 5.3511766E+000, 2.0000028E+001
 5.4111187E+000, 2.0000029E+001
 5.4710608E+000, 2.0000030E+001
 5.5205131E+000, 2.0000031E+001
 5.5864494E+000, 2.0000033E+001
 5.6523858E+000, 2.0000034E+001
 5.7018381E+000, 2.0000036E+001
 5.7677744E+000, 2.0000037E+001
 5.8337108E+000, 2.0000039E+001
 5.8831630E+000, 2.0000040E+001
 5.9490994E+000, 2.0000042E+001
 6.0150357E+000, 2.0000044E+001
 6.0644880E+000, 2.0000046E+001
 6.1304243E+000, 2.0000049E+001
 6.1963607E+000, 2.0000051E+001
 6.2458129E+000, 2.0000054E+001
 6.3117493E+000, 2.0000057E+001
 6.3612015E+000, 2.0000060E+001
 6.4271379E+000, 2.0000063E+001
 6.4930742E+000, 2.0000068E+001
 6.5425265E+000, 2.0000073E+001
 6.6084628E+000, 2.0000091E+001
 6.6743992E+000, 2.0000456E+001
 6.7238515E+000, 2.0004379E+001
 6.7897878E+000, 2.0020937E+001
 6.8492548E+000, 2.0059148E+001
 6.9079980E+000, 2.0115178E+001
 6.9710396E+000, 2.0185343E+001
 7.0340811E+000, 2.0262707E+001
 7.0845143E+000, 2.0334840E+001
 7.1538600E+000, 2.0411437E+001
 7.2136125E+000, 2.0492481E+001
 7.2733650E+000, 2.0568982E+001
 7.3331174E+000, 2.0645397E+001
 7.3928699E+000, 2.0721454E+001
 7.4526223E+000, 2.0796819E+001
 7.5123748E+000, 2.0871352E+001
 7.5721273E+000, 2.0944426E+001
 7.6318797E+000, 2.1015232E+001
 7.6916322E+000, 2.1083738E+001
 7.7543723E+000, 2.1152815E+001
 7.8036681E+000, 2.1216128E+001
 7.8693958E+000, 2.1282456E+001
 7.9351235E+000, 2.1362882E+001
 7.9807653E+000, 2.1434976E+001
 8.0537901E+000, 2.1515584E+001
 8.1122099E+000, 2.1605682E+001
 8.1636194E+000, 2.1679906E+001
 8.2343073E+000, 2.1756363E+001
 8.2873233E+000, 2.1829886E+001
 8.3403393E+000, 2.1891040E+001
 8.4110273E+000, 2.1961843E+001
 8.4640433E+000, 2.2033958E+001
