s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2520372E-004,-7.0902278E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2521081E-004, 0.0000000E+000, 0.0000000E+000
 1.0206208E-001, 0.0000000E+000, 5.8114890E-003, 5.3735006E-003, 3.3047687E-002, 1.3987922E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5631469E-002, 1.9462385E-004, 1.9462385E-004
 2.0412415E-001, 6.5625781E+000, 5.8456126E-003,-1.2552381E-001, 8.1842641E-002, 3.2903040E-003, 0.0000000E+000, 0.0000000E+000, 5.1665910E-002, 6.5280329E+000, 3.8526225E-004, 3.8526225E-004
 3.0618623E-001, 4.5950576E-005, 4.0096624E-003, 5.8167448E-001, 9.1279225E-002, 7.6877257E-003, 0.0000000E+000, 0.0000000E+000, 6.3361263E+000, 6.8469704E-001, 5.6824967E-004, 5.6824967E-004
 4.0824831E-001, 8.2879251E+001,-6.9620642E-001, 1.0535378E+000, 1.4001086E-001, 7.4996131E-003, 0.0000000E+000, 0.0000000E+000, 6.2434251E-001, 8.3384093E+001, 7.4050729E-004, 7.4050729E-004
 5.1031035E-001, 2.5108093E+001,-2.4717646E+001, 1.8253438E+001,-3.8226187E-001, 6.0480630E-002, 0.0000000E+000, 0.0000000E+000, 8.1521014E+001, 1.8322103E+001, 8.9971836E-004, 8.9971836E-004
 6.1237246E-001, 2.7679855E+002,-2.1205530E+001, 3.3441046E+000,-1.7140494E-001, 8.9599417E-002, 0.0000000E+000, 0.0000000E+000, 8.7534554E+000, 2.5885532E+002, 1.0443967E-003, 1.0443967E-003
 6.3366884E-001, 3.3227764E+002,-1.2256586E+002, 4.8484911E+000,-7.2515012E-001, 1.0524884E-001, 0.0000000E+000, 0.0000000E+000, 2.5813364E+002, 2.1394037E+002, 1.0726756E-003, 1.0726756E-003
 6.5709490E-001, 2.7816429E+002,-2.1814277E+002, 1.9817158E+000,-9.4554999E-001, 9.3152604E-002, 0.0000000E+000, 0.0000000E+000, 2.1307015E+002, 6.1150838E+001, 1.1030118E-003, 1.1030118E-003
 6.8286353E-001, 1.9650534E+002,-9.8346821E+001, 4.8666140E-001,-6.7631504E-001, 1.0126643E-001, 0.0000000E+000, 0.0000000E+000, 6.0665281E+001, 9.8070133E+001, 1.1354481E-003, 1.1354481E-003
 7.1120906E-001, 1.6758780E+002,-9.1460569E+001, 2.7427991E+000,-6.9569586E-001, 1.1681333E-001, 0.0000000E+000, 0.0000000E+000, 9.8985131E+001, 7.8291151E+001, 1.1700000E-003, 1.1700000E-003
 7.4238908E-001, 1.7092485E+002,-9.3814240E+001, 8.9928173E-001,-6.7453123E-001, 1.2340309E-001, 0.0000000E+000, 0.0000000E+000, 7.8097036E+001, 7.7458764E+001, 1.2066480E-003, 1.2066480E-003
