s,C
Time,"HD"
 9.5835597E+000, 2.2287209E+001
 9.6271300E+000, 2.2357385E+001
 9.6707004E+000, 2.2403886E+001
 9.7665551E+000, 2.2480295E+001
 9.8144825E+000, 2.2556480E+001
 9.8672026E+000, 2.2612341E+001
 9.9199227E+000, 2.2668203E+001
 9.9726428E+000, 2.2724015E+001
 1.0025363E+001, 2.2779862E+001
 1.0118665E+001, 2.2853783E+001
 1.0165316E+001, 2.2927371E+001
 1.0211967E+001, 2.2976094E+001
 1.0305269E+001, 2.3048485E+001
 1.0351919E+001, 2.3119910E+001
 1.0398570E+001, 2.3166672E+001
 1.0445221E+001, 2.3212783E+001
 1.0538523E+001, 2.3280479E+001
 1.0585174E+001, 2.3346857E+001
 1.0631825E+001, 2.3390200E+001
 1.0725127E+001, 2.3454193E+001
 1.0776443E+001, 2.3521591E+001
 1.0827759E+001, 2.3567730E+001
 1.0879075E+001, 2.3613862E+001
 1.0930391E+001, 2.3660240E+001
 1.0981707E+001, 2.3707250E+001
 1.1084339E+001, 2.3779485E+001
 1.1135655E+001, 2.3853784E+001
 1.1186971E+001, 2.3904631E+001
 1.1238287E+001, 2.3956473E+001
 1.1289603E+001, 2.4009231E+001
 1.1340919E+001, 2.4062923E+001
 1.1443551E+001, 2.4145706E+001
 1.1499999E+001, 2.4236823E+001
 1.1556447E+001, 2.4301760E+001
 1.1612894E+001, 2.4368384E+001
 1.1669342E+001, 2.4437013E+001
 1.1725790E+001, 2.4507540E+001
 1.1782237E+001, 2.4579949E+001
 1.1838685E+001, 2.4653884E+001
 1.1895133E+001, 2.4728887E+001
 1.1951580E+001, 2.4804715E+001
 1.2008028E+001, 2.4880776E+001
 1.2064475E+001, 2.4956887E+001
 1.2120923E+001, 2.5032814E+001
 1.2233818E+001, 2.5145514E+001
 1.2290266E+001, 2.5256682E+001
 1.2346714E+001, 2.5329547E+001
 1.2394713E+001, 2.5390914E+001
 1.2442713E+001, 2.5451595E+001
 1.2490713E+001, 2.5511717E+001
 1.2586713E+001, 2.5601152E+001
 1.2634712E+001, 2.5689995E+001
 1.2682712E+001, 2.5749105E+001
 1.2730712E+001, 2.5808150E+001
 1.2826712E+001, 2.5896924E+001
 1.2879511E+001, 2.5991767E+001
 1.2932311E+001, 2.6057118E+001
 1.2985111E+001, 2.6122357E+001
 1.3037911E+001, 2.6187364E+001
 1.3090710E+001, 2.6251781E+001
 1.3143510E+001, 2.6315433E+001
 1.3249110E+001, 2.6409011E+001
 1.3301910E+001, 2.6500577E+001
 1.3354709E+001, 2.6560227E+001
 1.3399949E+001, 2.6610665E+001
 1.3445188E+001, 2.6660446E+001
 1.3535667E+001, 2.6734206E+001
 1.3580906E+001, 2.6807523E+001
 1.3626146E+001, 2.6856455E+001
 1.3716625E+001, 2.6930359E+001
 1.3761864E+001, 2.7004926E+001
 1.3807103E+001, 2.7055126E+001
 1.3897582E+001, 2.7131086E+001
 1.3942822E+001, 2.7207754E+001
 1.3988061E+001, 2.7259314E+001
 1.4087588E+001, 2.7344879E+001
 1.4137351E+001, 2.7430675E+001
 1.4187114E+001, 2.7487863E+001
 1.4241854E+001, 2.7550674E+001
 1.4296594E+001, 2.7613519E+001
 1.4351333E+001, 2.7676226E+001
 1.4406073E+001, 2.7738948E+001
 1.4460813E+001, 2.7801830E+001
 1.4570292E+001, 2.7896514E+001
 1.4625032E+001, 2.7991851E+001
 1.4679772E+001, 2.8055956E+001
 1.4734511E+001, 2.8120481E+001
 1.4789251E+001, 2.8185521E+001
 1.4843991E+001, 2.8251153E+001
 1.4898730E+001, 2.8317282E+001
 1.4953470E+001, 2.8383983E+001
 1.5008210E+001, 2.8451116E+001
 1.5062949E+001, 2.8518632E+001
 1.5166247E+001, 2.8614599E+001
 1.5214805E+001, 2.8706352E+001
 1.5263364E+001, 2.8765993E+001
 1.5311922E+001, 2.8825250E+001
 1.5360480E+001, 2.8884086E+001
 1.5457597E+001, 2.8971232E+001
 1.5501135E+001, 2.9051451E+001
 1.5544673E+001, 2.9102320E+001
 1.5631750E+001, 2.9177885E+001
 1.5675289E+001, 2.9252801E+001
 1.5762365E+001, 2.9327088E+001
 1.5810258E+001, 2.9405881E+001
 1.5858150E+001, 2.9460000E+001
 1.5910831E+001, 2.9519435E+001
 1.5963513E+001, 2.9578940E+001
 1.6068876E+001, 2.9668465E+001
 1.6121557E+001, 2.9758327E+001
 1.6174239E+001, 2.9818426E+001
 1.6226920E+001, 2.9878742E+001
 1.6279602E+001, 2.9939204E+001
 1.6332283E+001, 2.9999787E+001
 1.6384965E+001, 3.0060428E+001
 1.6490328E+001, 3.0151415E+001
 1.6537312E+001, 3.0235822E+001
 1.6584296E+001, 3.0289780E+001
 1.6631280E+001, 3.0343650E+001
 1.6725248E+001, 3.0424065E+001
 1.6772232E+001, 3.0504056E+001
 1.6819216E+001, 3.0556974E+001
 1.6866200E+001, 3.0609580E+001
 1.6969565E+001, 3.0695432E+001
 1.7021247E+001, 3.0780356E+001
 1.7072930E+001, 3.0836265E+001
 1.7124612E+001, 3.0891754E+001
 1.7176295E+001, 3.0946775E+001
 1.7227977E+001, 3.1001401E+001
 1.7331342E+001, 3.1082851E+001
 1.7383025E+001, 3.1163806E+001
 1.7434707E+001, 3.1217661E+001
 1.7486390E+001, 3.1271374E+001
 1.7538072E+001, 3.1325268E+001
 1.7589754E+001, 3.1379340E+001
 1.7641437E+001, 3.1433642E+001
 1.7744802E+001, 3.1515821E+001
 1.7796484E+001, 3.1598675E+001
 1.7848167E+001, 3.1654304E+001
 1.7899849E+001, 3.1710198E+001
 1.7951532E+001, 3.1766235E+001
 1.8003214E+001, 3.1822463E+001
 1.8106579E+001, 3.1906838E+001
 1.8158261E+001, 3.1991150E+001
 1.8209944E+001, 3.2047144E+001
 1.8261626E+001, 3.2103004E+001
 1.8313309E+001, 3.2158503E+001
 1.8364991E+001, 3.2213686E+001
 1.8468356E+001, 3.2295524E+001
 1.8520039E+001, 3.2376423E+001
 1.8571721E+001, 3.2429569E+001
 1.8623404E+001, 3.2482065E+001
 1.8675086E+001, 3.2533928E+001
 1.8726768E+001, 3.2585094E+001
 1.8830133E+001, 3.2660939E+001
 1.8881816E+001, 3.2736180E+001
 1.8933498E+001, 3.2786239E+001
 1.8985181E+001, 3.2836319E+001
 1.9036863E+001, 3.2886614E+001
 1.9088546E+001, 3.2937231E+001
 1.9145396E+001, 3.2993363E+001
 1.9202247E+001, 3.3050060E+001
 1.9315948E+001, 3.3136311E+001
 1.9372799E+001, 3.3223793E+001
 1.9429650E+001, 3.3282679E+001
 1.9479958E+001, 3.3334994E+001
 1.9530266E+001, 3.3387138E+001
 1.9580575E+001, 3.3439078E+001
 1.9630883E+001, 3.3490696E+001
 1.9681191E+001, 3.3541903E+001
 1.9781808E+001, 3.3617929E+001
 1.9832116E+001, 3.3693075E+001
 1.9882425E+001, 3.3742628E+001
 1.9932733E+001, 3.3791783E+001
 1.9983041E+001, 3.3840558E+001
 2.0083658E+001, 3.3913161E+001
 2.0133966E+001, 3.3985214E+001
 2.0184274E+001, 3.4033006E+001
 2.0234583E+001, 3.4080561E+001
 2.0284891E+001, 3.4127993E+001
 2.0385508E+001, 3.4199041E+001
 2.0435816E+001, 3.4270106E+001
 2.0486124E+001, 3.4317684E+001
 2.0536433E+001, 3.4365482E+001
 2.0586741E+001, 3.4413755E+001
 2.0687358E+001, 3.4487263E+001
 2.0737666E+001, 3.4562155E+001
 2.0787974E+001, 3.4613066E+001
 2.0838282E+001, 3.4664543E+001
 2.0888591E+001, 3.4716568E+001
 2.0989207E+001, 3.4795160E+001
 2.1039516E+001, 3.4873792E+001
 2.1089824E+001, 3.4925880E+001
 2.1140132E+001, 3.4977609E+001
 2.1190441E+001, 3.5028895E+001
 2.1240749E+001, 3.5079600E+001
 2.1331274E+001, 3.5147179E+001
 2.1376536E+001, 3.5213912E+001
 2.1421799E+001, 3.5257885E+001
 2.1512324E+001, 3.5323101E+001
 2.1557586E+001, 3.5387674E+001
 2.1602849E+001, 3.5430342E+001
 2.1693373E+001, 3.5493836E+001
 2.1738636E+001, 3.5556987E+001
 2.1783898E+001, 3.5598935E+001
 2.1874423E+001, 3.5662472E+001
 2.1919686E+001, 3.5727273E+001
 2.1969474E+001, 3.5776241E+001
 2.2069052E+001, 3.5852471E+001
 2.2118840E+001, 3.5931664E+001
 2.2168629E+001, 3.5986300E+001
 2.2218418E+001, 3.6041884E+001
 2.2268207E+001, 3.6098019E+001
 2.2367784E+001, 3.6182445E+001
 2.2417573E+001, 3.6266256E+001
 2.2467361E+001, 3.6321331E+001
 2.2517150E+001, 3.6375607E+001
 2.2566939E+001, 3.6429089E+001
 2.2666516E+001, 3.6507705E+001
 2.2716305E+001, 3.6584983E+001
 2.2766093E+001, 3.6635817E+001
 2.2815882E+001, 3.6686342E+001
 2.2865671E+001, 3.6736746E+001
 2.2965248E+001, 3.6812344E+001
 2.3015037E+001, 3.6888207E+001
 2.3064826E+001, 3.6938949E+001
