s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-1.2480251E-004, 7.7715612E-019, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2480251E-004, 0.0000000E+000, 0.0000000E+000
 2.0412415E-001, 0.0000000E+000, 1.2918250E-002, 3.7848039E-002, 7.8854444E-002, 1.8833722E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3150410E-001, 3.8526225E-004, 3.8526225E-004
 4.0824831E-001, 1.6939713E+001, 1.3175784E-002,-4.5071428E-001, 1.8737548E-001, 3.5053920E-003, 0.0000000E+000, 0.0000000E+000, 1.4566775E-001, 1.6693056E+001, 7.4050729E-004, 7.4050729E-004
 6.1237246E-001, 2.3722819E-003,-2.3536568E-003, 2.2365861E+000, 1.4412644E-001, 2.8559229E-002, 0.0000000E+000, 0.0000000E+000, 1.6525125E+001, 2.4092904E+000, 1.0443967E-003, 1.0443967E-003
 8.1649661E-001, 2.1793157E+002,-3.4677700E+000, 2.4259178E+000, 2.0705418E-001, 1.8872333E-002, 0.0000000E+000, 0.0000000E+000, 2.2284948E+000, 2.1711565E+002, 1.2881111E-003, 1.2881111E-003
 8.7545639E-001, 2.3906257E+002,-9.5209350E+001, 1.6696762E+001,-3.3675777E-001, 1.4152108E-001, 0.0000000E+000, 0.0000000E+000, 2.1719762E+002, 1.6035474E+002, 1.3473872E-003, 1.3473872E-003
 9.4031221E-001, 2.3563981E+002,-2.5208704E+002, 3.1456419E+000,-7.6276615E-001, 1.7553710E-001, 0.0000000E+000, 0.0000000E+000, 1.5274314E+002,-1.3888813E+001, 1.4071466E-003, 1.4071466E-003
 1.0116537E+000, 2.1372018E+002,-4.5443079E+001, 6.8033813E-001,-1.1651550E-001, 2.0562650E-001, 0.0000000E+000, 0.0000000E+000,-1.5926510E+001, 1.6904655E+002, 1.4666181E-003, 1.4666181E-003
 1.0735546E+000, 1.4841520E+002,-2.0601556E+002, 3.4215593E+000,-7.1550669E-001, 1.9912106E-001, 0.0000000E+000, 0.0000000E+000, 1.7092469E+002,-5.4695189E+001, 1.5132157E-003, 1.5132157E-003
